iter	Passed	Remaining
0	0	91
1	1	78
2	2	71
3	2	64
4	3	62
5	3	59
6	4	58
7	4	56
8	5	56
9	6	55
10	7	56
11	7	58
12	8	57
13	9	58
14	10	58
15	11	57
16	11	57
17	12	56
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	32	30
51	32	30
52	33	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	40	22
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
