iter	Passed	Remaining
0	156	156434
1	157	78725
2	158	52687
3	159	39653
4	159	31821
5	160	26613
6	161	22891
7	162	20097
8	162	17930
9	163	16192
10	164	14760
11	164	13568
12	165	12563
13	167	11785
14	168	11064
15	169	10407
16	170	9830
17	170	9307
18	171	8841
19	171	8424
20	172	8050
21	173	7709
22	174	7395
23	174	7108
24	175	6847
25	176	6603
26	176	6375
27	177	6163
28	178	5968
29	178	5784
30	182	5690
31	182	5533
32	183	5386
33	184	5241
34	185	5103
35	185	4972
36	186	4855
37	187	4739
38	187	4629
39	188	4524
40	189	4423
41	189	4328
42	190	4239
43	191	4153
44	191	4071
45	192	3993
46	194	3951
47	196	3905
48	198	3843
49	199	3781
50	200	3721
51	200	3663
52	201	3607
53	202	3550
54	203	3497
55	204	3443
56	205	3392
57	205	3344
58	206	3295
59	207	3246
60	211	3251
61	212	3208
62	213	3169
63	213	3127
64	214	3085
65	215	3045
66	215	3006
67	216	2968
68	217	2932
69	218	2896
70	218	2860
71	219	2826
72	219	2792
73	220	2759
74	221	2728
75	221	2698
76	222	2667
77	223	2643
78	224	2618
79	225	2590
80	226	2564
81	226	2537
82	227	2508
83	227	2482
84	228	2457
85	228	2432
86	229	2409
87	230	2385
88	230	2364
89	231	2341
90	232	2319
91	232	2297
92	233	2275
93	233	2254
94	234	2233
95	235	2213
96	235	2193
97	236	2177
98	237	2165
99	238	2150
100	239	2135
101	241	2121
102	242	2108
103	243	2094
104	243	2078
105	244	2062
106	245	2045
107	245	2028
108	246	2012
109	246	1996
110	247	1981
111	247	1965
112	248	1949
113	248	1934
114	249	1919
115	250	1905
116	250	1889
117	252	1886
118	253	1876
119	254	1864
120	254	1850
121	255	1836
122	255	1823
123	256	1810
124	256	1797
125	257	1784
126	257	1772
127	258	1759
128	258	1747
129	259	1735
130	259	1724
131	260	1713
132	261	1701
133	261	1690
134	262	1679
135	262	1668
136	263	1657
137	263	1647
138	264	1636
139	264	1626
140	265	1615
141	265	1604
142	267	1602
143	268	1596
144	269	1588
145	270	1581
146	270	1571
147	271	1562
148	271	1553
149	272	1544
150	273	1535
151	273	1526
152	274	1517
153	274	1508
154	275	1499
155	275	1491
156	276	1482
157	276	1474
158	277	1466
159	277	1458
160	278	1449
161	278	1441
162	279	1434
163	279	1426
164	280	1419
165	281	1416
166	282	1410
167	283	1404
168	284	1397
169	284	1390
170	285	1383
171	285	1376
172	286	1369
173	287	1362
174	287	1356
175	288	1349
176	288	1342
177	289	1335
178	289	1328
179	290	1322
180	290	1316
181	291	1310
182	292	1303
183	292	1297
184	293	1291
185	293	1284
186	294	1278
187	294	1273
188	295	1267
189	298	1273
